timestamp,arm1_px,arm1_py,arm1_pz,arm1_qw,arm1_qx,arm1_qy,arm1_qz,arm1_gripper
1760941161613,0.291373,0.264925,1.089821,0.821339,0.214484,-0.509219,0.141753,1
1760941161631,0.289044,0.262633,1.090599,0.781645,-0.003414,-0.619162,0.075216,1
1760941161649,0.286574,0.260852,1.091687,0.780775,0.00984,-0.621708,0.061432,1
1760941161666,0.284372,0.257927,1.092603,0.778574,0.005483,-0.623759,0.068689,1
1760941161681,0.282198,0.256414,1.093557,0.778562,0.011711,-0.624427,0.061606,1
1760941161697,0.279876,0.255394,1.094817,0.774782,0.003076,-0.626975,0.081273,1
1760941161713,0.277706,0.253779,1.095454,0.77332,-0.006647,-0.628188,0.085509,1
1760941161729,0.299671,0.284966,1.099411,0.729153,0.0012,-0.655251,0.197435,0
1760941161749,0.291893,0.276034,1.099675,0.777318,0.209293,-0.557512,0.202864,1
1760941161765,0.286511,0.270004,1.100284,0.787927,0.197326,-0.549892,0.194559,1
1760941161781,0.281861,0.265202,1.100176,0.799471,0.204004,-0.538303,0.171635,1
1760941161797,0.278811,0.262038,1.100542,0.809727,0.203526,-0.530944,0.144977,1
1760941161813,0.276441,0.259423,1.100411,0.818863,0.207994,-0.520169,0.125007,1
1760941161829,0.274431,0.257452,1.100239,0.823147,0.21356,-0.513488,0.114676,1
1760941161849,0.272951,0.255969,1.100509,0.827942,0.209278,-0.508382,0.110738,0
1760941161865,0.272053,0.255673,1.100744,0.829763,0.216784,-0.503968,0.102538,1
1760941161881,0.270902,0.25474,1.100681,0.836347,0.216462,-0.495841,0.088377,1
1760941161897,0.27043,0.254329,1.101014,0.8339,0.217408,-0.500178,0.084652,1
1760941161913,0.270129,0.253837,1.100935,0.834663,0.219696,-0.498035,0.083852,1
1760941161929,0.269582,0.253889,1.101027,0.83159,0.225669,-0.500481,0.083972,1
1760941161949,0.269465,0.253245,1.101081,0.834132,0.218899,-0.500009,0.079356,1
1760941161965,0.269465,0.253245,1.101081,0.83804,0.210576,-0.49692,0.080111,1
1760941161981,0.269226,0.25321,1.101112,0.837829,0.211642,-0.497887,0.073209,1
1760941161997,0.269472,0.252734,1.101084,0.835171,0.215238,-0.50044,0.075644,1
1760941162013,0.269604,0.252704,1.10108,0.837794,0.202877,-0.500741,0.078738,1
1760941162029,0.269829,0.252682,1.101105,0.835327,0.21265,-0.500529,0.080493,1
1760941162049,0.270021,0.252862,1.10129,0.829654,0.212956,-0.508465,0.088243,1
1760941162065,0.270259,0.252898,1.10126,0.830185,0.219759,-0.505268,0.084875,1
1760941162081,0.270452,0.253078,1.101445,0.829585,0.217652,-0.506944,0.086163,1
1760941162097,0.270738,0.253511,1.10158,0.829157,0.210164,-0.510043,0.090476,1
1760941162113,0.270953,0.253742,1.10136,0.82835,0.211232,-0.509684,0.097161,1
1760941162129,0.271296,0.254365,1.101332,0.828008,0.21253,-0.510039,0.095365,1
1760941162150,0.271428,0.254595,1.101053,0.828133,0.210605,-0.50941,0.101703,1
1760941162165,0.27186,0.254812,1.101208,0.825598,0.215522,-0.511839,0.099799,1
1760941162181,0.272079,0.255131,1.100964,0.819674,0.218288,-0.517448,0.112838,1
1760941162197,0.27206,0.255311,1.100392,0.824835,0.215556,-0.511751,0.106276,1
1760941162213,0.272316,0.255948,1.100687,0.82105,0.218395,-0.515974,0.109327,1
1760941162229,0.272554,0.255985,1.100656,0.817708,0.221515,-0.51997,0.109157,1
1760941162249,0.272791,0.256802,1.100379,0.82108,0.220939,-0.515566,0.105855,1
1760941162265,0.272833,0.256933,1.100271,0.825328,0.211065,-0.513989,0.100499,1
1760941162281,0.272834,0.257194,1.099996,0.826907,0.212045,-0.511452,0.098379,1
1760941162297,0.273157,0.257738,1.099669,0.829094,0.204343,-0.511502,0.09599,1
1760941162313,0.273681,0.258485,1.09988,0.827875,0.187318,-0.517426,0.108655,1
1760941162329,0.273681,0.258746,1.099606,0.831249,0.177839,-0.517493,0.097978,1
1760941162349,0.273722,0.259416,1.099848,0.829224,0.174728,-0.522077,0.096398,1
1760941162367,0.274247,0.260165,1.10006,0.798742,0.241185,-0.522366,0.175994,1
1760941162383,0.27431,0.260885,1.099895,0.781257,0.260177,-0.526007,0.212749,1
1760941162397,0.274195,0.261417,1.099867,0.784376,0.251797,-0.525001,0.213837,1
