timestamp,arm2_px,arm2_py,arm2_pz,arm2_qw,arm2_qx,arm2_qy,arm2_qz,arm2_gripper
1760941161613,-0.235180,0.391453,1.003989,0.561966,0.152142,0.647782,-0.491350,0
1760941161631,-0.235096,0.387795,1.005891,0.553711,0.135420,0.649638,-0.503027,0
1760941161649,-0.235727,0.384021,1.008129,0.544143,0.114236,0.651184,-0.516545,0
1760941161666,-0.234964,0.376900,1.010945,0.518861,0.075991,0.655376,-0.543591,0
1760941161681,-0.234427,0.368401,1.013114,0.587986,0.043273,0.443326,-0.675176,0
1760941161697,-0.233594,0.360647,1.016482,0.579910,0.019261,0.426592,-0.693796,0
1760941161713,-0.233614,0.352861,1.019572,0.573006,-0.002452,0.413113,-0.707811,0
1760941161729,-0.206361,0.301777,1.013693,0.614826,0.064027,0.581719,-0.528670,0
1760941161749,-0.208258,0.299443,1.017501,0.574766,-0.026228,0.443481,-0.687227,0
1760941161765,-0.209929,0.296486,1.021189,0.575936,-0.032427,0.442840,-0.686395,0
1760941161781,-0.210879,0.292577,1.024794,0.571568,-0.049473,0.430673,-0.696694,0
1760941161797,-0.228091,0.310843,1.033445,0.623881,-0.008844,0.653157,-0.429046,0
1760941161813,-0.226590,0.303587,1.036198,0.626330,-0.012205,0.652178,-0.426879,0
1760941161829,-0.225435,0.297331,1.038824,0.635474,-0.003180,0.653067,-0.411905,0
1760941161849,-0.223675,0.289901,1.041028,0.636293,-0.009351,0.652984,-0.410678,0
1760941161865,-0.222430,0.284333,1.043573,0.635432,-0.020355,0.653211,-0.411251,0
1760941161881,-0.221189,0.278789,1.046094,0.640125,-0.023163,0.653447,-0.403373,0
1760941161897,-0.220450,0.275058,1.048969,0.639371,-0.032039,0.654245,-0.402669,0
1760941161913,-0.219598,0.271928,1.051807,0.642518,-0.031280,0.655991,-0.394801,0
1760941161929,-0.218913,0.268879,1.054093,0.643236,-0.036396,0.656815,-0.391813,0
1760941161949,-0.218108,0.266415,1.056344,0.641368,-0.043983,0.657971,-0.392158,0
1760941161965,-0.084488,0.162123,1.023043,0.821225,-0.054603,0.492067,-0.283688,0
1760941161981,-0.114859,0.185355,1.032734,0.757714,-0.051659,0.559686,-0.331591,0
1760941161997,-0.139108,0.202972,1.040665,0.725730,-0.040888,0.598168,-0.337402,0
1760941162013,-0.156424,0.216303,1.046564,0.697641,-0.048397,0.618904,-0.357649,0
1760941162029,-0.170535,0.226477,1.051810,0.690781,-0.031589,0.634906,-0.344555,0
1760941162049,-0.180904,0.235001,1.055429,0.681539,-0.028496,0.643949,-0.346443,0
1760941162065,-0.187858,0.240328,1.058731,0.676433,-0.021203,0.652264,-0.341381,0
1760941162081,-0.194034,0.245663,1.061293,0.675563,-0.008164,0.658180,-0.332186,0
1760941162097,-0.198662,0.249811,1.062904,0.656150,-0.035477,0.661581,-0.361273,0
1760941162113,-0.202421,0.253309,1.064292,0.662396,-0.017094,0.664230,-0.346033,0
1760941162129,-0.205448,0.255626,1.065493,0.657850,-0.019957,0.666591,-0.349987,0
1760941162150,-0.208335,0.258477,1.066661,0.652608,-0.024755,0.668535,-0.355741,0
1760941162165,-0.209731,0.260909,1.067301,0.654213,-0.016047,0.669882,-0.350722,0
1760941162181,-0.210789,0.262402,1.067997,0.647924,-0.021723,0.671767,-0.358401,0
1760941162197,-0.211849,0.263897,1.068695,0.651345,-0.013283,0.673043,-0.350123,0
1760941162213,-0.211901,0.264563,1.068142,0.650399,-0.016094,0.671970,-0.353807,0
1760941162229,-0.212964,0.266062,1.068840,0.653209,-0.008587,0.673318,-0.346248,0
1760941162249,-0.213314,0.267020,1.068788,0.650265,-0.016367,0.672952,-0.352170,0
1760941162265,-0.214247,0.267719,1.069030,0.643783,-0.026120,0.673687,-0.361949,0
1760941162281,-0.214247,0.267719,1.069030,0.649043,-0.019700,0.674058,-0.352136,1
1760941162297,-0.220403,0.285358,1.073283,0.628783,-0.019273,0.680521,-0.375701,1
1760941162313,-0.219356,0.282479,1.072700,0.621947,-0.039618,0.677781,-0.390161,1
1760941162329,-0.218244,0.279474,1.072038,0.621897,-0.047830,0.676178,-0.392098,1
1760941162349,-0.217660,0.277319,1.071309,0.618026,-0.061189,0.673918,-0.400169,1
1760941162367,-0.217218,0.276124,1.071044,0.587426,-0.123520,0.410414,-0.686465,0
1760941162383,-0.216777,0.274931,1.070780,0.549085,-0.044734,0.654418,-0.517920,1
1760941162397,-0.216378,0.273911,1.070568,0.599952,-0.002810,0.654167,-0.460560,1
1760941162413,-0.216158,0.273316,1.070435,0.595656,-0.113104,0.424139,-0.672687,0
1760941162429,-0.215938,0.272721,1.070303,0.638532,0.022754,0.650377,-0.410815,1
1760941162449,-0.216118,0.272343,1.070268,0.593737,-0.118384,0.422647,-0.674411,0
1760941162465,-0.216118,0.272343,1.070268,0.645486,0.027189,0.649962,-0.400197,1
1760941162481,-0.216118,0.272343,1.070268,0.651004,0.035434,0.650221,-0.390065,1
1760941162497,-0.215899,0.271749,1.070135,0.653387,0.029715,0.648385,-0.389615,1
1760941162513,-0.215899,0.271749,1.070135,0.656990,0.033837,0.648774,-0.382506,1
1760941162529,-0.215446,0.271848,1.070387,0.654988,0.030724,0.648911,-0.385955,1
1760941162549,-0.215446,0.271848,1.070387,0.654507,0.027495,0.648677,-0.387405,1
1760941162565,-0.215446,0.271848,1.070387,0.658658,0.033294,0.648339,-0.380418,1
1760941162581,-0.215803,0.271893,1.070432,0.658822,0.032549,0.648928,-0.379192,1
1760941162597,-0.215345,0.271871,1.070090,0.662064,0.037946,0.647659,-0.375193,1
1760941162613,-0.215345,0.271871,1.070090,0.656383,0.028274,0.647924,-0.385430,1
1760941162629,-0.216160,0.271937,1.070477,0.658431,0.034162,0.649332,-0.379039,1
1760941162649,-0.216160,0.271937,1.070477,0.650804,0.022194,0.650074,-0.391620,1
1760941162665,-0.216160,0.271937,1.070477,0.655128,0.028792,0.650169,-0.383743,1
1760941162681,-0.216215,0.272399,1.070152,0.657805,0.034072,0.649295,-0.380195,1
1760941162697,-0.216215,0.272399,1.070152,0.655465,0.030153,0.649067,-0.384927,1
1760941162713,-0.216668,0.272300,1.069900,0.655101,0.027186,0.648480,-0.386752,1
1760941162729,-0.216668,0.272300,1.069900,0.657281,0.030668,0.648011,-0.383567,1
1760941162749,-0.216449,0.271706,1.069768,0.658126,0.028463,0.646641,-0.384598,1
1760941162765,-0.216848,0.271923,1.069865,0.661643,0.035575,0.646574,-0.378029,1
1760941162781,-0.217068,0.272517,1.069998,0.656716,0.029552,0.646546,-0.387078,1
1760941162797,-0.217233,0.272649,1.070455,0.656311,0.027624,0.646454,-0.388060,1
1760941162813,-0.217173,0.272843,1.070211,0.649716,0.012457,0.644019,-0.403675,1
1760941162829,-0.217338,0.272975,1.070669,0.655872,0.021569,0.642937,-0.394966,1
1760941162849,-0.217668,0.273239,1.071585,0.653161,0.013870,0.641593,-0.401930,1
1760941162865,-0.217999,0.273501,1.072502,0.654186,0.013579,0.639998,-0.402814,1
1760941162881,-0.218108,0.273166,1.073284,0.666101,0.030015,0.637162,-0.386565,1
1760941162897,-0.218258,0.272359,1.074775,0.667127,0.028567,0.634384,-0.389463,1
1760941162913,-0.218531,0.272147,1.076013,0.668563,0.029387,0.631784,-0.391163,1
1760941162929,-0.218210,0.271130,1.078127,0.663288,0.023032,0.631784,-0.400459,1
1760941162949,-0.218401,0.269808,1.080226,0.665756,0.021322,0.628865,-0.401052,1
1760941162965,-0.218078,0.268103,1.082891,0.664124,0.020291,0.629042,-0.403526,1
1760941162983,-0.217639,0.265272,1.085291,0.664498,0.018252,0.626290,-0.407271,1
1760941162999,-0.216779,0.261896,1.087936,0.660614,0.018171,0.626493,-0.413238,1
1760941163013,-0.216035,0.258117,1.091047,0.665920,0.024589,0.624007,-0.408120,1
1760941163029,-0.214255,0.253781,1.094190,0.664020,0.022015,0.622002,-0.414375,1
1760941163049,-0.212358,0.248319,1.097031,0.665304,0.019372,0.618726,-0.417340,1
1760941163065,-0.210468,0.242971,1.100435,0.670426,0.021205,0.614865,-0.414752,1
1760941163081,-0.204319,0.234588,1.099655,0.903601,0.172874,0.391555,0.017446,1
1760941163097,-0.203054,0.230198,1.102480,0.902600,0.174215,0.393553,0.008790,1
1760941163113,-0.201539,0.226014,1.106094,0.900257,0.181489,0.395507,0.013150,1
1760941163129,-0.199729,0.220832,1.109513,0.899820,0.183165,0.395606,0.016451,1
1760941163149,-0.197418,0.215767,1.113215,0.899993,0.183584,0.394735,0.022232,1
1760941163165,-0.194944,0.211163,1.117083,0.900144,0.180935,0.395832,0.017908,1
1760941163181,-0.192453,0.206248,1.120855,0.901111,0.172385,0.397585,0.014429,1
1760941163197,-0.189805,0.201509,1.124687,0.901718,0.177564,0.392784,0.033096,1
1760941163213,-0.186887,0.196375,1.128232,0.904130,0.174002,0.388517,0.036416,1
1760941163229,-0.184188,0.191585,1.131713,0.903856,0.173511,0.389393,0.036224,1
1760941163249,-0.181493,0.186707,1.135615,0.902311,0.172905,0.393525,0.032812,1
1760941163265,-0.179013,0.181853,1.139003,0.900068,0.174764,0.398509,0.022939,1
1760941163281,-0.176915,0.177389,1.142400,0.898461,0.175876,0.401971,0.015968,1
