timestamp,landmark_index,landmark_name,x,y,z,rx,ry,rz
1756802368402,0,WRIST,-0.251465,0.225722,1.173606,-2.447822,1.062338,-0.342460
1756802368411,0,WRIST,-0.251372,0.225072,1.173261,-2.666106,1.217926,-0.376537
1756802368427,0,WRIST,-0.251159,0.224479,1.173616,-2.444741,1.062043,-0.346831
1756802368444,0,WRIST,-0.250826,0.223985,1.174404,-2.448727,1.064278,-0.338086
1756802368460,0,WRIST,-0.250720,0.222980,1.175039,-2.444676,1.061576,-0.340937
1756802368477,0,WRIST,-0.250717,0.222260,1.175469,-2.447562,1.062558,-0.342141
1756802368494,0,WRIST,-0.250229,0.221549,1.176752,-2.447601,1.063386,-0.338508
1756802368509,0,WRIST,-0.250149,0.221079,1.177520,-2.443510,1.062117,-0.337127
1756802368526,0,WRIST,-0.249497,0.220325,1.178524,-2.446618,1.060249,-0.336638
1756802368543,0,WRIST,-0.249164,0.219828,1.179311,-2.449716,1.061091,-0.336892
1756802368559,0,WRIST,-0.249099,0.219537,1.180585,-2.668620,1.214054,-0.386134
1756802368577,0,WRIST,-0.248832,0.219151,1.181585,-2.668835,1.215310,-0.381694
1756802368595,0,WRIST,-0.248988,0.219297,1.182600,-2.668309,1.216359,-0.376957
1756802368609,0,WRIST,-0.249105,0.218801,1.182824,-2.680735,1.218071,-0.408995
1756802368627,0,WRIST,-0.249158,0.218714,1.183219,-2.672390,1.215541,-0.371826
1756802368642,0,WRIST,-0.249390,0.218868,1.183715,-2.446280,1.056347,-0.340227
1756802368657,0,WRIST,-0.249306,0.219019,1.184147,-2.442420,1.057909,-0.343363
1756802368676,0,WRIST,-0.249314,0.218860,1.184236,-2.446729,1.055745,-0.344772
1756802368694,0,WRIST,-0.249547,0.219014,1.184733,-2.444802,1.055904,-0.345736
1756802368710,0,WRIST,-0.249540,0.218914,1.184823,-2.671443,1.213258,-0.376745
1756802368728,0,WRIST,-0.249793,0.218940,1.184804,-2.445811,1.054325,-0.346261
1756802368744,0,WRIST,-0.249793,0.218940,1.184804,-2.446349,1.053605,-0.347079
1756802368758,0,WRIST,-0.249793,0.218940,1.184804,-2.673890,1.211846,-0.370880
1756802368776,0,WRIST,-0.249716,0.219191,1.185146,-2.450294,1.055153,-0.341575
1756802368794,0,WRIST,-0.249716,0.219191,1.185146,-2.672280,1.211424,-0.370909
1756802368810,0,WRIST,-0.249246,0.219193,1.185178,-2.450178,1.053831,-0.343155
1756802368828,0,WRIST,-0.249246,0.219193,1.185178,-2.449208,1.053907,-0.344835
1756802368844,0,WRIST,-0.249246,0.219193,1.185178,-2.671628,1.208742,-0.375892
1756802368857,0,WRIST,-0.249246,0.219193,1.185178,-2.450205,1.054948,-0.342814
1756802368878,0,WRIST,-0.249246,0.219193,1.185178,-2.448483,1.055612,-0.344786
1756802368894,0,WRIST,-0.249189,0.218813,1.185030,-2.442640,1.053298,-0.348608
1756802368913,0,WRIST,-0.249189,0.218813,1.185030,-2.677473,1.216771,-0.372339
1756802368926,0,WRIST,-0.249362,0.218954,1.185222,-2.676916,1.215177,-0.375774
1756802368944,0,WRIST,-0.249423,0.218708,1.185707,-2.444729,1.053768,-0.342570
1756802368958,0,WRIST,-0.249640,0.218681,1.185694,-2.686437,1.220588,-0.403928
1756802368976,0,WRIST,-0.249832,0.218191,1.185395,-2.685374,1.221045,-0.408361
1756802368994,0,WRIST,-0.249659,0.218050,1.185204,-2.681461,1.220142,-0.412591
1756802369010,0,WRIST,-0.249599,0.218038,1.184899,-2.673588,1.215591,-0.374991
1756802369026,0,WRIST,-0.249717,0.218430,1.185352,-2.443069,1.056732,-0.343654
1756802369042,0,WRIST,-0.249970,0.218456,1.185333,-2.674251,1.216170,-0.373764
1756802369058,0,WRIST,-0.249970,0.218456,1.185333,-2.440729,1.054327,-0.345802
1756802369076,0,WRIST,-0.249970,0.218456,1.185333,-2.440952,1.055024,-0.347647
1756802369094,0,WRIST,-0.249970,0.218456,1.185333,-2.672968,1.216761,-0.376981
1756802369111,0,WRIST,-0.249970,0.218456,1.185333,-2.442071,1.053661,-0.351790
1756802369125,0,WRIST,-0.249917,0.218543,1.184937,-2.443479,1.057779,-0.341562
1756802369144,0,WRIST,-0.249917,0.218543,1.184937,-2.441920,1.057864,-0.346423
1756802369157,0,WRIST,-0.249908,0.218702,1.184848,-2.444583,1.060346,-0.337533
1756802369176,0,WRIST,-0.249966,0.219082,1.184996,-2.439774,1.054012,-0.346326
1756802369194,0,WRIST,-0.249966,0.219082,1.184996,-2.442798,1.059613,-0.339528
1756802369209,0,WRIST,-0.249966,0.219082,1.184996,-2.443180,1.060703,-0.343072
1756802369225,0,WRIST,-0.249973,0.219181,1.184905,-2.444273,1.059329,-0.339758
1756802369242,0,WRIST,-0.249973,0.219181,1.184905,-2.441092,1.054688,-0.344636
1756802369258,0,WRIST,-0.250146,0.219322,1.185097,-2.441736,1.057372,-0.347241
1756802369278,0,WRIST,-0.249973,0.219181,1.184905,-2.442304,1.059565,-0.342656
1756802369294,0,WRIST,-0.249973,0.219181,1.184905,-2.447550,1.060968,-0.336722
1756802369312,0,WRIST,-0.249720,0.219155,1.184924,-2.444897,1.061153,-0.342617
1756802369326,0,WRIST,-0.249253,0.219293,1.185088,-2.667815,1.218630,-0.377006
1756802369343,0,WRIST,-0.249253,0.219293,1.185088,-2.666807,1.217112,-0.380625
1756802369358,0,WRIST,-0.249193,0.219280,1.184782,-2.664927,1.218020,-0.379932
1756802369376,0,WRIST,-0.248767,0.219113,1.184610,-2.664720,1.217787,-0.376970
